PERIOD_BEGIN,REGION,STATE,PROPERTY_TYPE,MEDIAN_SALE_PRICE,MEDIAN_SALE_PRICE_YOY,MEDIAN_LIST_PRICE,MEDIAN_PPSF,HOMES_SOLD,INVENTORY,MONTHS_OF_SUPPLY,MEDIAN_DOM,AVG_SALE_TO_LIST,PRICE_DROPS
1/1/2026,"Castle Hills, TX",Texas,Single Family Residential,445000,-0.094147583,529000,166.5419162,3,22,7.3,145,0.897588202,0.272727273
1/1/2026,"Trenton, TX",Texas,Single Family Residential,324000,NA,323120,172.5239617,1,14,14,66,1.015673981,0.214285714
1/1/2026,"Atascocita, TX",Texas,Single Family Residential,299000,-0.093939394,309450,134.4444444,79,363,4.6,75,0.975615623,0.297520661
1/1/2026,"Enchanted Oaks, TX",Texas,Single Family Residential,932495,NA,344200,291.8480994,2,8,4,152,0.994680851,0.375
1/1/2026,"DeCordova, TX",Texas,Single Family Residential,337500,0.071428571,425000,125.827026,2,26,13,152,0.830285979,0.230769231
1/1/2026,"Sunnyvale, TX",Texas,Single Family Residential,754500,0.019594595,705000,196.6164268,4,30,7.5,241,0.988837771,0.233333333
1/1/2026,"Laredo, TX",Texas,Single Family Residential,232500,-0.065889916,239900,156.5988069,51,530,10.4,97,1,0.190566038
1/1/2026,"Fulshear, TX",Texas,Single Family Residential,532500,-0.180769231,571250,168.962495,20,125,6.3,112,0.951171014,0.36
1/1/2026,"Lake Worth, TX",Texas,Single Family Residential,250000,-0.142219935,312500,176.6304348,5,14,2.8,50,1.004347826,0.214285714
1/1/2026,"Desoto, TX",Texas,Single Family Residential,329950,-0.099727149,364500,146.8783113,28,156,5.6,58,0.948916369,0.237179487
1/1/2026,"Ennis, TX",Texas,Single Family Residential,259490,0.05914718,278900,171.875,17,79,4.6,82,1.029783064,0.151898734
1/1/2026,"Mission, TX",Texas,Single Family Residential,292000,0.101886793,249000,143.5515446,38,360,9.5,125,0.950058251,0.219444444
1/1/2026,"Lindale, TX",Texas,Single Family Residential,257597.5,0.122673785,244650,150.5781746,8,76,9.5,102,0.990618715,0.27631579
1/1/2026,"Raymondville, TX",Texas,Single Family Residential,250000,-0.027237354,172500,153.1862745,1,11,11,127,0.961538462,0.272727273
1/1/2026,"San Juan, TX",Texas,Single Family Residential,239000,0.101382489,247000,162.8664495,11,162,14.7,74,0.980983523,0.197530864
1/1/2026,"Los Fresnos, TX",Texas,Single Family Residential,273000,0.202643172,273000,176.6666667,5,9,1.8,31,NA,0.222222222
1/1/2026,"Beeville, TX",Texas,Single Family Residential,168250,0.979411765,180000,101.0731296,4,60,15,172,0.951335962,0.316666667
1/1/2026,"Dalworthington Gardens, TX",Texas,Single Family Residential,637500,-0.365229513,NA,187.1453763,2,3,1.5,100,0.959416455,0.333333333
1/1/2026,"Hollywood Park, TX",Texas,Single Family Residential,750000,0.932989691,594999.5,263.6203866,1,13,13,210,0.962772786,0.153846154
1/1/2026,"Shoreacres, TX",Texas,Single Family Residential,280000,NA,429900,107.8998073,1,6,6,77,0.98245614,0.333333333
1/1/2026,"Cedar Creek, TX",Texas,Single Family Residential,450000,0.061320755,431990,196.9212296,3,22,7.3,53,0.977648999,0.227272727
1/1/2026,"Stephenville, TX",Texas,Single Family Residential,290000,-0.114503817,350000,191.5997601,18,93,5.2,94,0.943307087,0.182795699
1/1/2026,"Uhland, TX",Texas,Single Family Residential,221945,-0.169721751,251990,144.839372,8,19,2.4,102,0.991847853,0.263157895
1/1/2026,"Lucas, TX",Texas,Single Family Residential,1392500,0.814332248,990000,299.8328108,4,36,9,152,0.963434974,0.277777778
1/1/2026,"Jarrell, TX",Texas,Single Family Residential,286290,-0.088241148,322965,165.7458564,3,51,17,251,0.995632693,0.176470588
1/1/2026,"Cleburne, TX",Texas,Single Family Residential,296935,0.041785808,294660,160.1758794,45,262,5.8,106,0.976415405,0.282442748
1/1/2026,"Fredericksburg, TX",Texas,Single Family Residential,320999,-0.286653037,475000,195.4471858,9,150,16.7,81,0.977549067,0.206666667
1/1/2026,"Little Elm, TX",Texas,Single Family Residential,391995,-0.150606717,400000,183.025277,38,267,7,99,0.960970736,0.370786517
1/1/2026,"Bartonville, TX",Texas,Single Family Residential,672500,NA,3297500,245.43379,2,9,4.5,151,0.972103004,0.111111111
1/1/2026,"Bullard, TX",Texas,Single Family Residential,324900,-0.071448985,367500,187.295082,5,54,10.8,128,NA,0.185185185
1/1/2026,"Frankston, TX",Texas,Single Family Residential,82000,0.026282854,NA,70.08547009,1,5,5,70,NA,0.2
1/1/2026,"Mercedes, TX",Texas,Single Family Residential,213000,0.03902439,219500,146.539028,5,62,12.4,220,1.002400247,0.209677419
1/1/2026,"Edcouch, TX",Texas,Single Family Residential,325000,1.549019608,138500,100.7751938,1,8,8,255,1.031746032,0.25
1/1/2026,"Deer Park, TX",Texas,Single Family Residential,264148.5,-0.064961062,295000,147.4695609,18,86,4.8,75,0.970081058,0.255813954
1/1/2026,"Alvin, TX",Texas,Single Family Residential,310000,-0.012738854,289000,158.6830986,19,104,5.5,75,0.979387457,0.346153846
1/1/2026,"South Houston, TX",Texas,Single Family Residential,310000,1.48,450000,96.33312617,1,25,25,453,0.885714286,0.32
1/1/2026,"Harker Heights, TX",Texas,Single Family Residential,342000,0.159322034,322450,143.3788947,26,126,4.8,135,0.990751458,0.206349206
1/1/2026,"Carter, TX",Texas,Single Family Residential,580000,NA,498211.5,200,1,6,6,154,0.991452992,0.166666667
1/1/2026,"Willow Grove, TX",Texas,Single Family Residential,391000,-0.046341463,336638.5,198.9610872,4,8,2,54,1.013027862,0.375
1/1/2026,"Beauxart Gardens, TX",Texas,Single Family Residential,265000,NA,380000,182.7586207,1,2,2,27,NA,0.5
1/1/2026,"Palestine, TX",Texas,Single Family Residential,160000,-0.249706917,169500,113.6363636,9,94,10.4,92,NA,0.191489362
1/1/2026,"Snyder, TX",Texas,Single Family Residential,184999,NA,202200,120.0512654,1,31,31,48,1,0.258064516
1/1/2026,"Terrell Hills, TX",Texas,Single Family Residential,780000,0.529861724,749500,386.71294,1,38,38,98,0.961894192,0.263157895
1/1/2026,"Crandall, TX",Texas,Single Family Residential,289000,-0.053476917,295527,134.0694006,13,69,5.3,84,0.966297038,0.362318841
1/1/2026,"Mount Pleasant, TX",Texas,Single Family Residential,251499.5,0.093951718,232500,119.6911197,8,56,7,49,0.94276,0.303571429
1/1/2026,"Oak Ridge, TX",Texas,Single Family Residential,453050,0.054954011,432500,207.8117176,3,11,3.7,137,0.969907399,0.181818182
1/1/2026,"Inez, TX",Texas,Single Family Residential,225000,-0.64838256,385000,111.7734724,1,13,13,43,0.980392157,0.307692308
1/1/2026,"Jersey Village, TX",Texas,Single Family Residential,400375,-0.182908163,814500,165.0549672,2,11,5.5,154,0.945974942,0.181818182
1/1/2026,"Christoval, TX",Texas,Single Family Residential,224900,NA,NA,221.1406096,1,1,1,4,NA,NA
1/1/2026,"Corinth, TX",Texas,Single Family Residential,420000,0.012048193,389000,179.4453507,27,73,2.7,85,0.991056385,0.369863014
1/1/2026,"Gainesville, TX",Texas,Single Family Residential,311000,0.088363955,238900,161.2707133,10,106,10.6,122,0.947864705,0.150943396
1/1/2026,"Murphy, TX",Texas,Single Family Residential,652500,0.324873096,591000,195.5096498,12,50,4.2,90,0.983869484,0.28
1/1/2026,"Fate, TX",Texas,Single Family Residential,399000,0.078378378,410000,162.0993962,21,157,7.5,90,0.965028702,0.305732484
1/1/2026,"Celina, TX",Texas,Single Family Residential,490000,-0.141341348,525000,179.1767554,59,373,6.3,111,0.954131466,0.351206434
1/1/2026,"Bridgeport, TX",Texas,Single Family Residential,313500,0.381057269,329500,159.3369135,2,35,17.5,89,0.981277056,0.171428571
1/1/2026,"Pelican Bay, TX",Texas,Single Family Residential,182000,-0.02907442,234500,168.5185185,1,11,11,134,0.887804878,0.272727273
1/1/2026,"Godley, TX",Texas,Single Family Residential,345000,-0.208715596,399900,137.3465809,3,40,13.3,79,0.978482601,0.3
1/1/2026,"Bevil Oaks, TX",Texas,Single Family Residential,322250,0.171818182,225000,114.7757394,4,9,2.3,143,1,0.111111111
1/1/2026,"Manor, TX",Texas,Single Family Residential,331500,-0.035327668,303990,170.1037728,24,125,5.2,95,0.980745283,0.368
1/1/2026,"Palmer, TX",Texas,Single Family Residential,250000,-0.278290993,303750,169.9524133,1,12,12,44,1,0.5
1/1/2026,"Humble, TX",Texas,Single Family Residential,225000,-0.081632653,229500,109.4981336,5,27,5.4,16,0.960509317,0.259259259
1/1/2026,"Tool, TX",Texas,Single Family Residential,206500,0.153631285,200000,160.3345354,4,35,8.8,175,0.971677289,0.171428571
1/1/2026,"El Campo, TX",Texas,Single Family Residential,256000,0.917602996,192000,140.3404528,4,56,14,115,0.972916667,0.321428571
1/1/2026,"Rose Hill Acres, TX",Texas,Single Family Residential,215000,-0.12244898,202400,127.3696682,1,3,3,152,NA,0.333333333
1/1/2026,"Needville, TX",Texas,Single Family Residential,313815,0.179755639,321490,159.7436356,4,26,6.5,32,0.929931898,0.538461539
1/1/2026,"Anson, TX",Texas,Single Family Residential,73000,-0.284313726,180000,47.00579524,5,6,1.2,45,0.8052576,0.5
1/1/2026,"West, TX",Texas,Single Family Residential,257499,0.096673765,275000,205.1868802,3,12,4,90,0.946727313,0.083333333
1/1/2026,"San Diego, TX",Texas,Single Family Residential,65000,NA,337500,45.26462396,1,2,2,125,0.929899857,1
1/1/2026,"Del Rio, TX",Texas,Single Family Residential,240000,-0.184921039,249000,147.1428571,15,122,8.1,30,NA,0.139344262
1/1/2026,"Horizon City, TX",Texas,Single Family Residential,235000,0.119047619,245000,159.4948991,16,132,8.3,41,0.969496621,0.159090909
1/1/2026,"Sour Lake, TX",Texas,Single Family Residential,197000,-0.536470588,350000,112.5714286,3,7,2.3,156,NA,NA
1/1/2026,"Palacios, TX",Texas,Single Family Residential,227500,0.21657754,182000,137.4854413,2,23,11.5,79,0.966666667,0.217391304
1/1/2026,"Smithville, TX",Texas,Single Family Residential,304500,-0.47948718,267000,209.3551225,2,46,23,361,0.973612991,0.173913044
1/1/2026,"Zapata, TX",Texas,Single Family Residential,55000,NA,110000,47.4137931,1,12,12,122,NA,0.083333333
1/1/2026,"Lefors, TX",Texas,Single Family Residential,83000,NA,NA,69.16666667,1,NA,NA,50,NA,NA
1/1/2026,"Leander, TX",Texas,Single Family Residential,409995,-0.05531106,410000,186.7273714,78,367,4.7,112,0.963618086,0.329700273
1/1/2026,"Van Alstyne, TX",Texas,Single Family Residential,469990,0.333304965,375000,156.161272,7,69,9.9,94,0.981237554,0.202898551
1/1/2026,"Shadybrook, TX",Texas,Single Family Residential,302475,-0.361799768,239950,722.3359772,2,32,16,71,1.1,0.21875
1/1/2026,"San Marcos, TX",Texas,Single Family Residential,300000,-0.104477612,299000,166.858458,53,325,6.1,90,0.977389742,0.264615385
1/1/2026,"Merkel, TX",Texas,Single Family Residential,212450,0.004491726,325000,135.7898352,2,11,5.5,82,1,0.454545455
1/1/2026,"Archer City, TX",Texas,Single Family Residential,120449.5,-0.330650181,NA,101.7138393,2,8,4,37,1,NA
1/1/2026,"Wilmer, TX",Texas,Single Family Residential,226000,-0.169114592,244000,154.3715847,1,8,8,84,0.959660297,NA
1/1/2026,"White Settlement, TX",Texas,Single Family Residential,223250,0.015234197,239000,177.9012067,16,46,2.9,45,0.977690771,0.326086957
1/1/2026,"Reno, TX",Texas,Single Family Residential,285000,0.292517007,359000,108.0821012,2,9,4.5,172,0.850196203,0.333333333
1/1/2026,"Pittsburg, TX",Texas,Single Family Residential,185000,-0.285714286,274000,116.0602258,3,30,10,123,0.868425623,0.233333333
1/1/2026,"Bremond, TX",Texas,Single Family Residential,59900,NA,NA,49.34102142,1,4,4,63,NA,0.5
1/1/2026,"Lamar, TX",Texas,Single Family Residential,475000,NA,715000,610.2626756,3,24,8,416,NA,0.125
1/1/2026,"Bixby, TX",Texas,Single Family Residential,775000,NA,NA,306.6877721,1,1,1,1113,NA,NA
1/1/2026,"Castroville, TX",Texas,Single Family Residential,445350,-0.238077804,494900,197.0455141,6,46,7.7,138,0.98555097,0.391304348
1/1/2026,"Wildwood, TX",Texas,Single Family Residential,219000,NA,174900,89.93839836,1,21,21,207,NA,0.190476191
1/1/2026,"Amarillo, TX",Texas,Single Family Residential,240000,0.057268722,250000,141.0835214,143,610,4.3,62,0.673228347,0.236065574
1/1/2026,"Lantana, TX",Texas,Single Family Residential,555000,-0.164156627,625000,202.6106415,11,36,3.3,69,0.970099135,0.361111111
1/1/2026,"Haltom City, TX",Texas,Single Family Residential,239950,-0.111296296,250000,176.8750479,14,69,4.9,58,0.974678819,0.289855073
1/1/2026,"Troup, TX",Texas,Single Family Residential,215000,0.030236236,283750,132.0638821,1,15,15,369,NA,0.2
1/1/2026,"Tyler, TX",Texas,Single Family Residential,249900,-0.060172997,289000,157.3066798,54,390,7.2,52,0.880956063,0.207692308
1/1/2026,"Forney, TX",Texas,Single Family Residential,363593.5,-0.051907432,382450,150.5487819,24,166,6.9,84,0.980608495,0.228915663
1/1/2026,"Garland, TX",Texas,Single Family Residential,300000,0,299950,171.9432314,87,444,5.1,65,0.971761104,0.281531532
1/1/2026,"Heidelberg, TX",Texas,Single Family Residential,220000,NA,NA,130.952381,1,4,4,555,NA,NA
1/1/2026,"Nesbitt, TX",Texas,Single Family Residential,335000,NA,615000,183.2603939,1,2,2,69,NA,NA
1/1/2026,"Pasadena, TX",Texas,Single Family Residential,235000,-0.129307151,246500,152.0861373,39,215,5.5,55,0.972163906,0.218604651
1/1/2026,"Flower Mound, TX",Texas,Single Family Residential,612500,0.050600343,650000,219.5601193,38,145,3.8,50,0.979991201,0.15862069
1/1/2026,"Huffman, TX",Texas,Single Family Residential,235000,-0.151624549,269495,147.7341413,4,35,8.8,123,0.959890461,0.285714286
1/1/2026,"The Colony, TX",Texas,Single Family Residential,345000,-0.094488189,409900,213.9231327,17,112,6.6,73,0.988348937,0.276785714
1/1/2026,"Granbury, TX",Texas,Single Family Residential,380000,-0.121263346,332990,181.9923372,19,150,7.9,88,0.958156268,0.253333333
1/1/2026,"Josephine, TX",Texas,Single Family Residential,297450,-0.144016461,354999,178.5264032,2,31,15.5,169,0.989343193,0.483870968
1/1/2026,"Porter Heights, TX",Texas,Single Family Residential,257450,-0.024810606,NA,135.69566,2,28,14,100,0.991246874,0.214285714
1/1/2026,"Rio Grande City, TX",Texas,Single Family Residential,181500,0.008333333,216000,143.4720281,4,34,8.5,171,0.994069021,0.176470588
1/1/2026,"Weston Lakes, TX",Texas,Single Family Residential,677000,0.025757576,750000,212.9206481,5,33,6.6,113,0.959924242,0.242424242
1/1/2026,"Fresno, TX",Texas,Single Family Residential,304745,0.033033898,305450,134.464453,14,75,5.4,90,0.961905236,0.386666667
1/1/2026,"Graford, TX",Texas,Single Family Residential,79800,NA,257450,33.25,1,5,5,267,0.798798799,NA
1/1/2026,"Highland Park, TX",Texas,Single Family Residential,3485000,-0.308896495,4422500,743.4354568,2,21,10.5,80,0.954643308,0.047619048
1/1/2026,"Hitchcock, TX",Texas,Single Family Residential,234250,0.127285852,227000,144.291701,6,48,8,163,0.972565824,0.1875
1/1/2026,"Fairview, TX",Texas,Single Family Residential,1762500,1.730441518,897500,375.9246417,4,42,10.5,68,0.969479627,0.238095238
1/1/2026,"Copperas Cove, TX",Texas,Single Family Residential,222000,-0.102214134,249000,141.5384615,35,199,5.7,100,0.982454841,0.281407035
1/1/2026,"Corsicana, TX",Texas,Single Family Residential,236000,-0.069950739,246900,147.9338469,15,95,6.3,97,0.957768199,0.178947368
1/1/2026,"Killeen, TX",Texas,Single Family Residential,218750,-0.088494192,232000,135.600959,78,570,7.3,92,0.98236064,0.254385965
1/1/2026,"Round Rock, TX",Texas,Single Family Residential,399389,-0.028250608,399000,190.1352971,54,322,6,110,0.956166744,0.295031056
1/1/2026,"Greatwood, TX",Texas,Single Family Residential,625000,0.302083333,455000,162.6898048,3,20,6.7,52,0.942499345,0.25
1/1/2026,"Justin, TX",Texas,Single Family Residential,476200,0.193483709,500000,184.7919348,10,63,6.3,166,0.986343674,0.238095238
1/1/2026,"Lancaster, TX",Texas,Single Family Residential,250000,0.01010101,285370,156.0832791,19,80,4.2,36,0.982643303,0.3125
1/1/2026,"Lometa, TX",Texas,Single Family Residential,99900,NA,175000,101.9387755,1,3,3,20,1,NA
1/1/2026,"Marion, TX",Texas,Single Family Residential,447094.5,1.416727027,252999,213.5519152,2,31,15.5,5,1,0.709677419
1/1/2026,"Luling, TX",Texas,Single Family Residential,192995,0.253214286,475000,184.7402406,2,32,16,196,0.942737975,0.3125
1/1/2026,"Comfort, TX",Texas,Single Family Residential,386000,-0.056234719,697000,269.5332091,2,9,4.5,173,0.876729694,0.444444444
1/1/2026,"Universal City, TX",Texas,Single Family Residential,289000,0.256794955,255250,149.6512365,11,86,7.8,56,0.991713465,0.244186047
1/1/2026,"Weatherford, TX",Texas,Single Family Residential,337500,-0.005744587,365000,201.0610311,32,151,4.7,103,0.975267248,0.238410596
1/1/2026,"Devine, TX",Texas,Single Family Residential,295000,0.491782554,269000,140.4761905,1,20,20,123,1,0.35
1/1/2026,"Texas City, TX",Texas,Single Family Residential,247500,-0.131578947,279000,142.1252518,50,332,6.6,79,0.952981066,0.304216868
1/1/2026,"Pottsboro, TX",Texas,Single Family Residential,441250,-0.159523009,422200,191.9184769,6,20,3.3,109,0.976735754,0.15
1/1/2026,"Milford, TX",Texas,Single Family Residential,240000,NA,140000,169.0140845,1,13,13,32,0.923076923,0.846153846
1/1/2026,"McKinney, TX",Texas,Single Family Residential,488000,0.010351967,500000,202.2268214,156,669,4.3,90,0.968440632,0.297458894
1/1/2026,"Annetta South, TX",Texas,Single Family Residential,1250000,NA,1000000,252.6273242,1,2,2,14,0.933706816,0.5
1/1/2026,"Texarkana, TX",Texas,Single Family Residential,204450,-0.070681818,240000,122.4699265,20,134,6.7,84,NA,0.119402985
1/1/2026,"Ponder, TX",Texas,Single Family Residential,385000,0.199376947,522450,174.9297753,3,13,4.3,64,0.969520054,0.307692308
1/1/2026,"Pecan Plantation, TX",Texas,Single Family Residential,363750,-0.320093458,499000,202.967425,6,69,11.5,118,0.97708404,0.217391304
1/1/2026,"West Lake Hills, TX",Texas,Single Family Residential,3275000,0.353305785,3625000,755.7219067,2,15,7.5,47,0.863636364,0.2
1/1/2026,"Lake Jackson, TX",Texas,Single Family Residential,229500,-0.165454546,240000,142.1957672,13,88,6.8,80,0.958753012,0.340909091
1/1/2026,"Onion Creek, TX",Texas,Single Family Residential,395000,-0.121245829,460995,200.6401138,7,32,4.6,111,0.945570684,0.15625
1/1/2026,"Gunter, TX",Texas,Single Family Residential,599000,0.130188679,402450,190.5822463,3,24,8,348,0.997222222,0.291666667
1/1/2026,"Heath, TX",Texas,Single Family Residential,601000,-0.419323672,717450,190.7401369,11,110,10,103,0.975782554,0.218181818
1/1/2026,"Shady Shores, TX",Texas,Single Family Residential,417688,-0.337003175,649000,213.1061224,1,10,10,27,0.97755102,0.4
1/1/2026,"Tye, TX",Texas,Single Family Residential,90000,-0.274193548,250000,115.3846154,1,1,1,69,1,NA
1/1/2026,"Fritch, TX",Texas,Single Family Residential,52500,-0.447368421,159450,37.71551724,1,10,10,128,NA,0.2
1/1/2026,"Pharr, TX",Texas,Single Family Residential,201400,-0.065429234,207500,123.4132581,23,165,7.2,87,0.968616977,0.187878788
1/1/2026,"Hudson Oaks, TX",Texas,Single Family Residential,710000,1.253968254,802450,255.3281528,2,10,5,62,0.982493043,0.3
1/1/2026,"Athens, TX",Texas,Single Family Residential,135000,-0.357142857,315000,112.8762542,1,57,57,34,1,0.298245614
1/1/2026,"Bluetown, TX",Texas,Single Family Residential,160000,NA,NA,138.8888889,1,NA,NA,167,0.970285021,NA
1/1/2026,"Falcon Mesa, TX",Texas,Single Family Residential,150000,NA,120700,130.2083333,1,5,5,293,NA,NA
1/1/2026,"Doolittle, TX",Texas,Single Family Residential,415000,0.95754717,242000,198.2799809,3,13,4.3,13,0.991865079,0.076923077
1/1/2026,"Willow Park, TX",Texas,Single Family Residential,377000,-0.20631579,550000,203.2661276,2,21,10.5,129,0.96106691,0.285714286
1/1/2026,"Carrollton, TX",Texas,Single Family Residential,413000,-0.059011164,400000,212.7245344,58,192,3.3,69,0.98078585,0.296875
1/1/2026,"Henrietta, TX",Texas,Single Family Residential,142500,-0.36638506,145000,113.1261495,4,14,3.5,36,NA,0.142857143
1/1/2026,"Cleveland, TX",Texas,Single Family Residential,165000,-0.331713244,190000,109.2812637,10,100,10,105,0.849397951,0.23
1/1/2026,"Reno, TX",Texas,Single Family Residential,478000,0.111627907,599900,209.3802345,3,13,4.3,156,0.992144333,0.230769231
1/1/2026,"Alvarado, TX",Texas,Single Family Residential,363000,0.01010101,232450,176.9911504,7,48,6.9,173,0.992980803,0.270833333
1/1/2026,"Kyle, TX",Texas,Single Family Residential,305000,-0.061538462,316999.5,160.8349021,48,282,5.9,94,0.976069512,0.333333333
1/1/2026,"Rancho Viejo, TX",Texas,Single Family Residential,499900,0.432378224,382450,143.3153275,3,15,5,76,NA,0.4
1/1/2026,"Royse City, TX",Texas,Single Family Residential,309325,-0.154826635,337590,155.3514212,24,143,6,131,0.968608921,0.335664336
1/1/2026,"Pinewood Estates, TX",Texas,Single Family Residential,460000,2.068712475,325000,152.8747092,1,5,5,38,NA,0.6
1/1/2026,"Krugerville, TX",Texas,Single Family Residential,642450,0.396630435,630000,207.1516284,2,24,12,341,0.993873468,0.208333333
1/1/2026,"Wadsworth, TX",Texas,Single Family Residential,324999,NA,NA,155.6508621,1,NA,NA,NA,NA,NA
1/1/2026,"Vinton, TX",Texas,Single Family Residential,294950,0.12597824,290000,173.5,7,8,1.1,133,1.010995718,NA
1/1/2026,"Waller, TX",Texas,Single Family Residential,361502.5,-0.06188043,449990,175.320517,10,72,7.2,74,0.998336355,0.291666667
1/1/2026,"Uvalde, TX",Texas,Single Family Residential,180000,0.285714286,255544,137.6146789,5,69,13.8,53,0.943272914,0.217391304
1/1/2026,"Lacy-Lakeview, TX",Texas,Single Family Residential,148000,-0.36344086,191450,162.9955947,1,24,24,27,0.973684211,0.416666667
1/1/2026,"Euless, TX",Texas,Single Family Residential,385450,0.219778481,399500,206.4175512,26,62,2.4,39,0.989470096,0.258064516
1/1/2026,"Paloma Creek, TX",Texas,Single Family Residential,295000,NA,310000,120.6050695,1,13,13,145,0.921875,0.384615385
1/1/2026,"Overton, TX",Texas,Single Family Residential,119900,NA,217500,70.32258065,1,9,9,4,NA,0.222222222
1/1/2026,"Magnolia, TX",Texas,Single Family Residential,239315,-0.216644845,285490,144.1553845,14,74,5.3,48,0.895761294,0.540540541
1/1/2026,"Manvel, TX",Texas,Single Family Residential,510000,0.108695652,509000,170.0921332,45,264,5.9,167,0.967966457,0.359848485
1/1/2026,"Vidor, TX",Texas,Single Family Residential,169900,0.055312277,179000,135.7028754,7,36,5.1,42,0.747083871,0.166666667
1/1/2026,"Schertz, TX",Texas,Single Family Residential,361995,0.072577778,370000,166.8724359,48,351,7.3,102,0.977473626,0.264957265
1/1/2026,"Pearland, TX",Texas,Single Family Residential,379144,-0.002239503,389900,156.6273881,64,286,4.5,45,0.970583595,0.300699301
1/1/2026,"Circle D-Kc Estates, TX",Texas,Single Family Residential,445000,0.711538462,325000,187.5385781,2,20,10,217,0.95757665,0.2
1/1/2026,"Steiner Ranch, TX",Texas,Single Family Residential,650000,-0.244186047,1172500,278.7700089,4,42,10.5,296,0.981831752,0.166666667
1/1/2026,"Everman, TX",Texas,Single Family Residential,150000,-0.5,245000,116.7315175,1,14,14,36,0.938086304,0.214285714
1/1/2026,"Canyon, TX",Texas,Single Family Residential,310000,0.036789298,380878,176.4226143,9,35,3.9,56,NA,0.228571429
1/1/2026,"Wake Village, TX",Texas,Single Family Residential,178000,-0.352727273,244000,109.4049904,5,42,8.4,120,0.898989899,0.142857143
1/1/2026,"Alice, TX",Texas,Single Family Residential,120500,-0.260736196,170000,127.686548,2,48,24,145,0.944301713,0.145833333
1/1/2026,"Floresville, TX",Texas,Single Family Residential,256763,-0.056016647,282000,137.6778339,7,55,7.9,167,1.000951565,0.236363636
1/1/2026,"Oak Trail Shores, TX",Texas,Single Family Residential,200500,0.046997389,259499.5,155.6895411,2,23,11.5,202,0.966964286,0.260869565
1/1/2026,"University Park, TX",Texas,Single Family Residential,3100000,0.109123435,2600000,662.1961442,9,23,2.6,62,0.959394539,0.043478261
1/1/2026,"Channelview, TX",Texas,Single Family Residential,255750,0.189534884,262499.5,119.9484142,14,67,4.8,50,0.981383202,0.208955224
1/1/2026,"Galena Park, TX",Texas,Single Family Residential,160000,-0.135135135,229500,173.9130435,3,28,9.3,91,0.94804451,0.285714286
1/1/2026,"Big Spring, TX",Texas,Single Family Residential,233000,NA,159500,167.6258993,1,119,119,12,1.013043478,0.176470588
1/1/2026,"Woodcreek, TX",Texas,Single Family Residential,540000,0.270588235,825000,306.3477461,3,5,1.7,82,0.968065727,NA
1/1/2026,"Sealy, TX",Texas,Single Family Residential,387747.5,0.314442863,306650,166.9379501,10,40,4,175,0.968404477,0.4
1/1/2026,"Bunker Hill Village, TX",Texas,Single Family Residential,1825000,-0.094292804,3262500,532.0899616,3,5,1.7,37,1.000811174,0.2
1/1/2026,"Nassau Bay, TX",Texas,Single Family Residential,349000,-0.110329357,321950,157.6217079,3,16,5.3,105,0.970580932,0.1875
1/1/2026,"Central Gardens, TX",Texas,Single Family Residential,684900,0.918487395,307500,231.3851351,1,1,1,2,NA,1
1/1/2026,"Sweetwater, TX",Texas,Single Family Residential,223245,0.01521146,164250,124.5478869,6,56,9.3,123,1.020208083,0.160714286
1/1/2026,"Port Arthur, TX",Texas,Single Family Residential,142000,0.015010722,145000,116.6658333,19,105,5.5,61,0.963307826,0.257142857
1/1/2026,"Woodway, TX",Texas,Single Family Residential,359500,-0.001388889,369000,173.4138258,6,45,7.5,147,0.969128863,0.222222222
1/1/2026,"Taylor Lake Village, TX",Texas,Single Family Residential,398750,0.025723473,371000,161.4983436,2,20,10,95,0.99382538,0.3
1/1/2026,"Seabrook, TX",Texas,Single Family Residential,397595,-0.109030812,406990,177.8846656,14,59,4.2,72,0.951950389,0.220338983
1/1/2026,"Tomball, TX",Texas,Single Family Residential,345000,-0.052197802,420000,184.944841,11,83,7.5,46,0.964390007,0.361445783
1/1/2026,"Sonterra, TX",Texas,Single Family Residential,200000,-0.08847075,269900,165.1527663,3,58,19.3,104,0.968021567,0.206896552
1/1/2026,"Keller, TX",Texas,Single Family Residential,619500,-0.078810409,797000,214.5118878,40,105,2.6,81,0.975258638,0.20952381
1/1/2026,"Missouri City, TX",Texas,Single Family Residential,368500,0.018659295,352990,155.9674503,57,435,7.6,82,0.960210808,0.250574713
1/1/2026,"Anderson Mill, TX",Texas,Single Family Residential,457000,0.187012987,395000,249.3366809,2,20,10,103,0.985940744,0.3
1/1/2026,"Patton Village, TX",Texas,Single Family Residential,536665,NA,NA,198.3974122,1,4,4,1005,1.022219048,NA
1/1/2026,"Nash, TX",Texas,Single Family Residential,195000,12.92857143,194500,94.24842919,1,18,18,41,NA,0.222222222
1/1/2026,"Benbrook, TX",Texas,Single Family Residential,295000,-0.013377926,355000,176.6478276,20,70,3.5,48,0.972469433,0.285714286
1/1/2026,"Alton, TX",Texas,Single Family Residential,266000,0.010446344,290000,168.8741722,7,72,10.3,121,0.984935621,0.194444444
1/1/2026,"Irving, TX",Texas,Single Family Residential,356500,-0.125153374,499999,213.6621664,54,239,4.4,69,0.969278838,0.271966527
1/1/2026,"Fulton, TX",Texas,Single Family Residential,305000,NA,299000,267.3558302,2,28,14,35,0.9375,0.107142857
